# Native shell ownership inventory for OPT-186.
#
# Columns:
# - pattern: exact module path under src/app_core/native_shell/composition, or a directory prefix ending in /**
# - owner: radiant_generic, compat_adapter, wavecrate_composition, or wavecrate_fixture
# - move_scope: stay_radiant, compat_boundary, or the Linear child issue that owns the move
# - notes: dependency and relocation notes without tabs
#
# The app_core::native_shell::composition::tests::contracts::native_shell_ownership_inventory_covers_every_module
# regression requires every *.rs module under this directory to match exactly one pattern.
pattern	owner	move_scope	notes
mod.rs	compat_adapter	compat_boundary	Native-shell composition facade is Wavecrate-owned and remains the local app composition entrypoint.
layout/**	radiant_generic	stay_radiant	Backend-neutral layout tree, geometry, and node contracts.
layout_runtime.rs	radiant_generic	stay_radiant	Retained layout runtime and dirty-subtree bookkeeping.
style/sizing.rs	radiant_generic	stay_radiant	Viewport and UI-scale sizing token type.
style/sizing/**	radiant_generic	stay_radiant	Sizing token defaults, tier deltas, and tests.
style/mod.rs	compat_adapter	compat_boundary	Mixes generic theme tokens with Wavecrate shell chrome until style ownership is split.
style/chrome.rs	wavecrate_composition	OPT-187	Wavecrate shell chrome tokens move with top, status, options, and overlay shell composition.
style/palette.rs	wavecrate_composition	OPT-187	Wavecrate compatibility palette moves with top, status, options, and overlay shell composition.
runtime/**	compat_adapter	compat_boundary	Wavecrate-owned runtime contract modules back composition and the runtime adapter during the post-cutover boundary cleanup.
layout_adapter.rs	compat_adapter	compat_boundary	Geometry adapter facade remains until surface-specific layout helpers move.
layout_adapter/bands.rs	wavecrate_composition	OPT-187	Shell band geometry belongs with top, status, options, and overlay composition.
layout_adapter/browser_chrome_text.rs	wavecrate_composition	OPT-188	Browser chrome text layout moves with browser chrome and map composition.
layout_adapter/browser_tabs.rs	wavecrate_composition	OPT-188	Browser tab surface layout moves with browser chrome composition.
layout_adapter/browser_text.rs	wavecrate_composition	OPT-188	Browser row and header text layout moves with browser composition.
layout_adapter/control_text.rs	wavecrate_composition	OPT-187	Shared shell control text placement moves with the first chrome-control slice.
layout_adapter/controls.rs	wavecrate_composition	OPT-187	Shared control layout facade moves with top, status, options, and overlay composition.
layout_adapter/controls/shared.rs	wavecrate_composition	OPT-187	Shared shell-control helper moves with the first chrome-control slice.
layout_adapter/controls/update_buttons.rs	wavecrate_composition	OPT-187	Update/control button layout moves with top bar and options composition.
layout_adapter/controls/browser_toolbar.rs	wavecrate_composition	OPT-188	Browser toolbar controls move with browser chrome composition.
layout_adapter/controls/sidebar_buttons.rs	wavecrate_composition	OPT-189	Sidebar and folder controls move with source/sidebar composition.
layout_adapter/controls_tests.rs	wavecrate_fixture	OPT-191	Wavecrate shell control layout fixture now lives beside Wavecrate composition and must not return to Radiant native_shell.
layout_adapter/map_canvas.rs	wavecrate_composition	OPT-188	Browser map canvas projection moves with browser map composition.
layout_adapter/map_header.rs	wavecrate_composition	OPT-188	Browser map header layout moves with browser map composition.
layout_adapter/overlay_visuals.rs	wavecrate_composition	OPT-187	Prompt, progress, and drag overlay visuals move with overlay composition.
layout_adapter/overlays.rs	wavecrate_composition	OPT-187	Overlay layout facade moves with overlay composition.
layout_adapter/overlays/**	wavecrate_composition	OPT-187	Prompt, progress, drag overlay layout and text helpers move with overlay composition.
layout_adapter/row_hit_test.rs	wavecrate_composition	OPT-188	Browser row hit-test helper moves with browser rows and map composition.
layout_adapter/sidebar_bands.rs	wavecrate_composition	OPT-189	Sidebar band geometry moves with source and folder composition.
layout_adapter/sidebar_chrome_text.rs	wavecrate_composition	OPT-189	Sidebar chrome text layout moves with source and folder composition.
layout_adapter/sidebar_header.rs	wavecrate_composition	OPT-189	Sidebar header layout facade moves with source and folder composition.
layout_adapter/sidebar_header/**	wavecrate_composition	OPT-189	Sidebar header helpers and tests move with source and folder composition.
layout_adapter/sidebar_sections.rs	wavecrate_composition	OPT-189	Sidebar source/folder section layout moves with source and folder composition.
layout_adapter/sidebar_text.rs	wavecrate_composition	OPT-189	Sidebar row text layout moves with source and folder composition.
layout_adapter/status_bar.rs	wavecrate_composition	OPT-187	Status bar text layout moves with top, status, options, and overlay composition.
layout_adapter/waveform_annotations.rs	wavecrate_composition	OPT-190	Waveform annotation layout moves with waveform plot and overlay composition.
layout_adapter/waveform_annotations/**	wavecrate_composition	OPT-190	Waveform annotation tests move with waveform plot and overlay composition.
